no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;drinks;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
82;Queen's Head;South Jakarta;Kemang;Owned place;Braised Beef Pie and Chips;140000; 4.4 ;716; 4.1 ;240;British;tenderloin, rib eye, ribs;roasted;salmon, barramundi, prawn, fish and chips;soup, salad, pasta, bread, fries;rice plate, fries etc;cake, tart, pudding, pannacotta;beer, wine, alcohol, juice, chocolate, milk, soft drink, mineral water, coffee, tea;seafood;yes;no;yes;yes;wine, beer liquor, sparkle;yes;yes;kids menu, bar
83;Hurricane's Grill;South Jakarta;Senopati;Owned place;Signature Beef Ribs Half Rack;368000; 4.4 ;1470; 4.3 ;502;Western;sirloin, tenderloin, rib eye, ribs, chaeaubriand, tomahawk;grilled;salmon, barramundi, fish and chips;soup, salad, garlic bread, garlic mushroom, fries etc;sandwich, pasta, croissant, bennedict;ice cream, cake, toast, sandwich;wine, champagne, alcohol, milkshakess, smooties, juice, mineral water, coffee, tea;pork, seafood, lamb;no;no;no;yes;wine, cocktail, champagne, cocktail, liquor;yes;yes;private room, live entertainment, bar
84;Sumibi;South Jakarta;Gandaria;1 Park Residences;Australian Wagyu T-Bone Steak;460000; 4.7 ;1046; 4.6 ;609;Japanese;t-bone, wagyu;no;tuna, saba, salmon, squid, lobster;salad, sashimi, fries, gyoza, nuts, shime saba etc;sushi, bao, sandwich, okonomiyaki, noodle etc;no;sake, soju, beer, alcohol, soft drink, mineral water, squash, ocha;seafood;yes;no;yes;yes;beer, liquor, sake, soju;no;yes;private room
85;William's;South Jakarta;SCBD;Owned place;M9 J'S Wagyu Striploin 200gr;; 4.5 ;1256; 4.2 ;477;Western;striploin, tenderloin;fried;salmon, barramundi, platter;salad, fries;ramen, rice plate;cake, tart, pofferjes, special;alcohol, traditional, mocktails, cocktails, coffee, tea, mineral water;seafood, duck;yes;yes;yes;yes;cocktail, liquor;yes;yes;private room, valet parking, bar
86;Lobbyn Sky Terrace;South Jakarta;Kemang;Liberta Hotel;Beef Stroganof;120000; 4.4 ;424; 3.7 ;292;Local Westerned;sirloin, tenderloin, rib eye;roasted, cordon bleu;salmon, fish and chips, platter;soup, salad, fries, quesadilas;pizza, sandwich, burger, pasta, fried rice, rice plate etc;no;beer, wine, alcohol, mocktail, milk, juice, mineral water, coffee, tea;seafood;yes;no;yes;yes;wine, beer, cocktail, liquor;yes;yes;live entertainment
87;Bottega Ristorante;South Jakarta;SCBD;Fairgrounds;Porcini Coffee Rubbed Steak;295000; 4.4 ;886; 4.2 ;1419;Western;sirloin, striploin;parmigiana;salmon, fish and chips;soup, salad, fries, quesadilas;fried rice, pasta, risotto, pizza, sandwich, burger;ice cream, cake, pizza;alcohol, juice, squash, mineral water, coffee, tea;seafood;no;yes;yes;yes;cocktail;yes;yes;live entertainment, bar
88;Amano Steakhouse;West Jakarta;Gajah Mada;Grand Paragon Mall;Crispy Breaded Chicken Steak;80000; 4.3 ;60; 3.4 ;50;Local;sirloin, tenderloin, rib eye;steak, katsu, curry;dory, fish;soup, salad, pasta, garlic bread, chicken wings;fries, fried rice, rice plate etc;mantau, smores, pannacotta, ice cream etc;juice, fizz, soft drink, mineral water, coffee, tea;seafood;yes;no;no;yes;no;yes;yes;kids friendly
89;B'Steak Grill & Pancake;West Jakarta;Green Ville;Owned place;Wagyu Brisket 200gr;285500; 4.6 ;2088; 4.5 ;530;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;beer, juice, milkshakes, mocktail, coffee, tea;seafood, lamb;yes;yes;no;yes;beer;yes;no;private dining, praying room
90;Barapi Meat and Grill;West Jakarta;Palmerah;Owned place;Prime Rib Eye 200gr;89000; 4.4 ;908; 4.1 ;163;Local;striploin, rib eye;grilled, crispy;no;no;pasta, hotdog, burger, sausages, rice plate;no;milo, soft drink, coffee, tea;no;yes;yes;yes;yes;no;no;yes;live entertainment
91;Steak 21;West Jakarta;Tanjung Duren;Central Park;Sirloin Wagyu 200gr;270000; 4.6 ;1045; 4.4 ;315;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, snapper, tuna;soup, salad, pasta;burger, fries, fried rice, seafood steaks;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;no;no;no;no;no;yes;no;buffet
